Order_ID,Order_Date,Region,Category,Product,Sales,Quantity,Discount,Profit,Customer_Type,Payment_Mode
ORD0001,2025-01-01,East,Furniture,Headphones,2691.59,3,0.12,162.39,Small Business,UPI
ORD0002,2025-01-02,West,Office Supplies,Desk,2500.07,4,0.27,235.54,Corporate,Cash
ORD0003,2025-01-03,North,Technology,Notebook,323.08,7,0.25,47.6,Corporate,UPI
ORD0004,2025-01-04,East,Technology,Monitor,1837.99,3,0.19,1092.81,Corporate,Credit Card
ORD0005,2025-01-05,East,Technology,Monitor,2024.94,9,0.26,911.15,Small Business,UPI
ORD0006,2025-01-06,West,Technology,Chair,2114.35,8,0.24,969.04,Corporate,Debit Card
ORD0007,2025-01-07,North,Clothing,Monitor,2984.83,4,0.13,1073.59,Small Business,Cash
ORD0008,2025-01-08,North,Technology,Headphones,2761.29,1,0.06,582.37,Small Business,UPI
ORD0009,2025-01-09,East,Clothing,Printer,3117.94,1,0.15,486.55,Consumer,Credit Card
ORD0010,2025-01-10,South,Clothing,Laptop,3871.44,1,0.22,329.51,Consumer,Cash
ORD0011,2025-01-11,East,Technology,Headphones,4102.33,1,0.13,665.98,Corporate,Debit Card
ORD0012,2025-01-12,East,Technology,Printer,3646.99,8,0.2,490.56,Corporate,Cash
ORD0013,2025-01-13,East,Furniture,Notebook,4786.51,3,0.03,487.04,Small Business,Debit Card
ORD0014,2025-01-14,East,Office Supplies,Monitor,287.52,6,0.22,1118.01,Corporate,Cash
ORD0015,2025-01-15,West,Technology,Notebook,1139.73,3,0.24,1179.24,Corporate,UPI
ORD0016,2025-01-16,North,Furniture,Monitor,236.3,5,0.21,935.43,Small Business,UPI
ORD0017,2025-01-17,West,Furniture,Laptop,3307.88,7,0.29,883.79,Corporate,Credit Card
ORD0018,2025-01-18,West,Office Supplies,Phone,4510.55,2,0.25,784.73,Corporate,Debit Card
ORD0019,2025-01-19,West,Clothing,Laptop,1368.72,6,0.27,115.9,Small Business,Credit Card
ORD0020,2025-01-20,East,Technology,Desk,4649.77,6,0.28,-23.16,Small Business,UPI
ORD0021,2025-01-21,South,Office Supplies,Headphones,489.28,3,0.24,797.94,Consumer,Debit Card
ORD0022,2025-01-22,North,Technology,Chair,4685.29,6,0.2,847.42,Small Business,Credit Card
ORD0023,2025-01-23,South,Furniture,Phone,1887.79,5,0.0,-38.94,Consumer,Credit Card
ORD0024,2025-01-24,West,Furniture,Laptop,686.82,2,0.14,1106.47,Corporate,Credit Card
ORD0025,2025-01-25,West,Clothing,Printer,2532.18,9,0.17,18.48,Small Business,Credit Card
ORD0026,2025-01-26,South,Furniture,Phone,1432.53,8,0.09,271.67,Small Business,Credit Card
ORD0027,2025-01-27,South,Furniture,Headphones,1567.39,3,0.1,774.11,Small Business,Debit Card
ORD0028,2025-01-28,South,Office Supplies,Monitor,1674.99,8,0.29,120.83,Corporate,Credit Card
ORD0029,2025-01-29,West,Technology,Phone,4054.52,9,0.27,-27.96,Consumer,Debit Card
ORD0030,2025-01-30,West,Technology,Monitor,2787.97,3,0.25,330.49,Corporate,Credit Card
ORD0031,2025-01-31,North,Office Supplies,Headphones,1694.28,3,0.12,895.76,Corporate,UPI
ORD0032,2025-02-01,North,Clothing,Laptop,3129.6,2,0.0,437.78,Small Business,UPI
ORD0033,2025-02-02,West,Technology,Headphones,3637.52,8,0.02,748.86,Consumer,Credit Card
ORD0034,2025-02-03,South,Furniture,Phone,1508.6,1,0.09,653.5,Corporate,Cash
ORD0035,2025-02-04,South,Technology,Printer,2185.04,8,0.0,-71.12,Small Business,UPI
ORD0036,2025-02-05,North,Furniture,Notebook,785.05,7,0.01,1185.1,Corporate,Debit Card
ORD0037,2025-02-06,West,Clothing,Phone,1069.52,7,0.27,-46.14,Corporate,Credit Card
ORD0038,2025-02-07,North,Office Supplies,Headphones,3469.37,3,0.21,1158.14,Small Business,Debit Card
ORD0039,2025-02-08,North,Technology,Notebook,1070.9,1,0.09,614.82,Small Business,Cash
ORD0040,2025-02-09,East,Office Supplies,Headphones,2720.78,4,0.04,1152.11,Consumer,Credit Card
ORD0041,2025-02-10,East,Technology,Printer,3603.42,9,0.15,49.18,Corporate,UPI
ORD0042,2025-02-11,East,Furniture,Headphones,713.01,5,0.0,537.53,Small Business,Debit Card
ORD0043,2025-02-12,South,Office Supplies,Laptop,2923.1,1,0.28,120.36,Small Business,UPI
ORD0044,2025-02-13,West,Technology,Chair,1431.5,5,0.12,-33.73,Consumer,UPI
ORD0045,2025-02-14,West,Furniture,Monitor,4822.05,8,0.12,702.79,Consumer,Credit Card
ORD0046,2025-02-15,West,Office Supplies,Monitor,2521.02,8,0.12,170.12,Small Business,Debit Card
ORD0047,2025-02-16,West,Office Supplies,Phone,4068.76,5,0.02,664.01,Consumer,Cash
ORD0048,2025-02-17,East,Technology,Chair,2841.09,9,0.19,46.07,Small Business,UPI
ORD0049,2025-02-18,South,Technology,Headphones,408.38,1,0.22,331.58,Corporate,Credit Card
ORD0050,2025-02-19,South,Technology,Printer,3239.13,4,0.2,916.12,Consumer,Credit Card
ORD0051,2025-02-20,East,Furniture,Phone,15000.0,3,0.04,468.17,Corporate,Cash
ORD0052,2025-02-21,South,Technology,Headphones,3087.74,2,0.17,716.07,Corporate,Credit Card
ORD0053,2025-02-22,East,Office Supplies,Notebook,4132.11,8,0.17,741.7,Corporate,UPI
ORD0054,2025-02-23,West,Office Supplies,Desk,4444.19,7,0.26,996.88,Small Business,Credit Card
ORD0055,2025-02-24,East,Technology,Headphones,1294.78,9,0.11,322.4,Corporate,Debit Card
ORD0056,2025-02-25,West,Technology,Chair,1217.82,2,0.11,793.48,Corporate,Debit Card
ORD0057,2025-02-26,West,Clothing,Phone,3132.71,4,0.19,1150.1,Corporate,UPI
ORD0058,2025-02-27,North,Office Supplies,Chair,2172.94,6,0.19,849.32,Small Business,Debit Card
ORD0059,2025-02-28,East,Furniture,Phone,4231.33,3,0.14,536.83,Corporate,Cash
ORD0060,2025-03-01,North,Clothing,Headphones,4520.11,8,0.13,719.93,Corporate,Credit Card
ORD0061,2025-03-02,East,Technology,Laptop,1896.42,3,0.15,861.59,Consumer,UPI
ORD0062,2025-03-03,East,Technology,Notebook,1336.98,2,0.26,695.96,Small Business,Cash
ORD0063,2025-03-04,North,Office Supplies,Headphones,3946.52,3,0.14,-78.32,Corporate,Credit Card
ORD0064,2025-03-05,North,Technology,Monitor,1519.07,6,0.28,153.21,Consumer,Cash
ORD0065,2025-03-06,East,Furniture,Chair,4148.55,2,0.15,953.61,Small Business,UPI
ORD0066,2025-03-07,South,Office Supplies,Desk,2233.94,8,0.28,254.45,Small Business,UPI
ORD0067,2025-03-08,West,Technology,Desk,3404.24,1,0.25,851.03,Small Business,Cash
ORD0068,2025-03-09,North,Office Supplies,Printer,658.57,7,0.11,383.76,Small Business,Credit Card
ORD0069,2025-03-10,West,Technology,Phone,3194.52,2,0.26,578.45,Small Business,Debit Card
ORD0070,2025-03-11,South,Technology,Chair,2368.48,6,0.03,-11.63,Small Business,Debit Card
ORD0071,2025-03-12,South,Technology,Printer,3015.72,2,0.28,135.59,Corporate,Cash
ORD0072,2025-03-13,South,Furniture,Chair,1006.47,2,0.19,1144.36,Corporate,UPI
ORD0073,2025-03-14,North,Furniture,Monitor,3736.99,8,0.02,1057.18,Corporate,Credit Card
ORD0074,2025-03-15,South,Office Supplies,Phone,4341.43,2,0.19,747.96,Corporate,Credit Card
ORD0075,2025-03-16,North,Technology,Headphones,1240.35,7,0.29,497.54,Consumer,UPI
ORD0076,2025-03-17,South,Technology,Headphones,659.43,3,0.02,778.49,Corporate,Debit Card
ORD0077,2025-03-18,West,Furniture,Desk,313.47,8,0.17,704.19,Small Business,Credit Card
ORD0078,2025-03-19,West,Technology,Headphones,3281.46,7,0.22,639.12,Corporate,Cash
ORD0079,2025-03-20,East,Furniture,Headphones,3114.05,8,0.24,-23.07,Corporate,Debit Card
ORD0080,2025-03-21,West,Technology,Monitor,2824.15,7,0.12,722.64,Small Business,Cash
ORD0081,2025-03-22,East,Office Supplies,Laptop,1313.35,6,0.06,899.6,Corporate,Debit Card
ORD0082,2025-03-23,West,Technology,Desk,2076.35,7,0.01,1192.31,Corporate,UPI
ORD0083,2025-03-24,North,Technology,Printer,3053.49,5,0.17,-85.6,Corporate,Cash
ORD0084,2025-03-25,West,Clothing,Notebook,2584.48,7,0.14,849.23,Consumer,Cash
ORD0085,2025-03-26,East,Furniture,Laptop,4941.37,1,0.28,643.33,Corporate,UPI
ORD0086,2025-03-27,East,Technology,Printer,854.91,1,0.02,464.27,Small Business,Cash
ORD0087,2025-03-28,South,Technology,Phone,3536.69,9,0.21,65.84,Small Business,Debit Card
ORD0088,2025-03-29,North,Clothing,Laptop,2140.73,5,0.01,431.81,Corporate,Credit Card
ORD0089,2025-03-30,West,Clothing,Monitor,2255.36,5,0.05,360.69,Corporate,Credit Card
ORD0090,2025-03-31,South,Furniture,Printer,3644.47,3,0.14,293.68,Corporate,UPI
ORD0091,2025-04-01,West,Clothing,Phone,3523.69,5,0.14,850.14,Small Business,Debit Card
ORD0092,2025-04-02,West,Office Supplies,Desk,4958.03,3,0.21,810.94,Small Business,Cash
ORD0093,2025-04-03,South,Clothing,Notebook,816.29,9,0.27,665.73,Consumer,Cash
ORD0094,2025-04-04,South,Office Supplies,Phone,699.73,9,0.19,1120.26,Consumer,Credit Card
ORD0095,2025-04-05,South,Furniture,Headphones,3676.83,6,0.29,354.81,Consumer,Cash
ORD0096,2025-04-06,South,Furniture,Chair,2976.26,1,0.26,216.94,Small Business,Credit Card
ORD0097,2025-04-07,South,Furniture,Phone,1515.97,7,0.18,752.67,Consumer,UPI
ORD0098,2025-04-08,West,Furniture,Phone,581.21,7,0.25,158.46,Corporate,Cash
ORD0099,2025-04-09,South,Furniture,Notebook,611.16,4,0.19,309.51,Corporate,Debit Card
ORD0100,2025-04-10,North,Office Supplies,Chair,4492.12,8,0.02,191.98,Small Business,Cash
ORD0101,2025-04-11,East,Office Supplies,Headphones,1120.96,6,0.22,-10.1,Consumer,Credit Card
ORD0102,2025-04-12,South,Furniture,Printer,1752.18,4,0.03,975.75,Corporate,UPI
ORD0103,2025-04-13,South,Clothing,Printer,1287.95,4,0.18,230.9,Small Business,Credit Card
ORD0104,2025-04-14,West,Technology,Phone,1903.98,2,0.21,514.94,Consumer,Cash
ORD0105,2025-04-15,South,Furniture,Monitor,533.23,2,0.02,-43.69,Corporate,Credit Card
ORD0106,2025-04-16,South,Clothing,Monitor,2691.49,4,0.07,809.14,Consumer,Credit Card
ORD0107,2025-04-17,South,Technology,Chair,524.54,5,0.27,329.73,Small Business,UPI
ORD0108,2025-04-18,West,Furniture,Chair,4041.71,8,0.18,868.16,Consumer,Debit Card
ORD0109,2025-04-19,South,Furniture,Headphones,1321.82,6,0.07,436.12,Small Business,Cash
ORD0110,2025-04-20,East,Office Supplies,Notebook,2792.06,4,0.21,154.48,Consumer,UPI
ORD0111,2025-04-21,West,Technology,Desk,4424.38,7,0.18,567.13,Corporate,Debit Card
ORD0112,2025-04-22,East,Technology,Printer,3324.21,8,0.15,69.66,Small Business,Credit Card
ORD0113,2025-04-23,West,Clothing,Notebook,2758.2,2,0.29,472.7,Small Business,Debit Card
ORD0114,2025-04-24,South,Office Supplies,Laptop,1756.8,7,0.21,312.5,Small Business,Credit Card
ORD0115,2025-04-25,East,Office Supplies,Printer,1798.41,2,0.11,1085.55,Consumer,Credit Card
ORD0116,2025-04-26,West,Office Supplies,Notebook,3413.54,2,0.24,-20.79,Consumer,UPI
ORD0117,2025-04-27,North,Office Supplies,Printer,4971.87,8,0.27,802.22,Corporate,Credit Card
ORD0118,2025-04-28,South,Technology,Desk,3376.83,2,0.04,137.58,Small Business,UPI
ORD0119,2025-04-29,West,Technology,Laptop,2877.36,9,0.06,314.76,Small Business,Debit Card
ORD0120,2025-04-30,North,Furniture,Monitor,3707.12,1,0.06,440.17,Consumer,Debit Card
ORD0121,2025-05-01,West,Furniture,Monitor,2432.99,9,0.21,1080.42,Consumer,Credit Card
ORD0122,2025-05-02,North,Office Supplies,Desk,488.68,1,0.18,215.35,Corporate,UPI
ORD0123,2025-05-03,South,Office Supplies,Headphones,2899.02,2,0.19,18.7,Corporate,Credit Card
ORD0124,2025-05-04,East,Office Supplies,Laptop,4796.6,6,0.28,314.3,Consumer,UPI
ORD0125,2025-05-05,North,Furniture,Phone,1041.45,6,0.23,36.08,Small Business,UPI
ORD0126,2025-05-06,West,Clothing,Notebook,3512.02,1,0.04,67.18,Corporate,UPI
ORD0127,2025-05-07,South,Clothing,Laptop,1164.48,7,0.1,646.01,Consumer,Debit Card
ORD0128,2025-05-08,North,Furniture,Headphones,2771.97,8,0.13,-20.83,Consumer,UPI
ORD0129,2025-05-09,West,Furniture,Headphones,664.05,2,0.12,-59.79,Small Business,Debit Card
ORD0130,2025-05-10,West,Furniture,Desk,2361.78,8,0.2,828.74,Consumer,UPI
ORD0131,2025-05-11,West,Furniture,Printer,3829.58,9,0.27,370.14,Consumer,Debit Card
ORD0132,2025-05-12,North,Furniture,Laptop,1868.34,6,0.09,62.99,Corporate,Cash
ORD0133,2025-05-13,North,Furniture,Notebook,3391.58,5,0.17,229.7,Consumer,Debit Card
ORD0134,2025-05-14,North,Office Supplies,Laptop,4018.16,9,0.24,734.71,Consumer,Debit Card
ORD0135,2025-05-15,East,Office Supplies,Chair,4650.45,9,0.12,258.2,Corporate,Credit Card
ORD0136,2025-05-16,North,Office Supplies,Printer,1326.28,1,0.05,542.88,Small Business,UPI
ORD0137,2025-05-17,North,Office Supplies,Notebook,2116.72,3,0.14,58.2,Small Business,Cash
ORD0138,2025-05-18,North,Furniture,Monitor,931.6,9,0.02,664.52,Corporate,Credit Card
ORD0139,2025-05-19,East,Clothing,Notebook,4963.92,2,0.28,310.9,Corporate,UPI
ORD0140,2025-05-20,North,Technology,Phone,4649.6,4,0.02,715.06,Small Business,Cash
ORD0141,2025-05-21,West,Furniture,Desk,2791.79,4,0.13,950.91,Small Business,Cash
ORD0142,2025-05-22,North,Technology,Phone,4241.76,2,0.16,695.14,Small Business,Cash
ORD0143,2025-05-23,West,Clothing,Notebook,2700.6,3,0.3,284.47,Small Business,UPI
ORD0144,2025-05-24,West,Office Supplies,Printer,3193.21,3,0.05,232.47,Small Business,Cash
ORD0145,2025-05-25,West,Clothing,Laptop,627.8,1,0.03,325.65,Corporate,Cash
ORD0146,2025-05-26,East,Furniture,Monitor,3825.3,6,0.0,114.01,Consumer,Credit Card
ORD0147,2025-05-27,East,Office Supplies,Laptop,813.02,8,0.05,135.52,Small Business,Debit Card
ORD0148,2025-05-28,East,Furniture,Printer,4165.12,3,0.06,927.9,Small Business,UPI
ORD0149,2025-05-29,North,Office Supplies,Notebook,3953.73,5,0.19,400.15,Consumer,Debit Card
ORD0150,2025-05-30,West,Technology,Headphones,3601.97,1,0.07,466.79,Consumer,Credit Card
ORD0151,2025-05-31,East,Technology,Laptop,18000.0,7,0.01,672.26,Consumer,Debit Card
ORD0152,2025-06-01,East,Technology,Headphones,1655.02,1,0.25,666.55,Consumer,Cash
ORD0153,2025-06-02,North,Clothing,Laptop,1462.94,9,0.11,-12.41,Consumer,Cash
ORD0154,2025-06-03,East,Furniture,Laptop,1928.65,8,0.11,981.0,Consumer,UPI
ORD0155,2025-06-04,North,Clothing,Monitor,620.69,7,0.09,130.52,Corporate,UPI
ORD0156,2025-06-05,South,Technology,Desk,4697.4,7,0.29,839.99,Consumer,UPI
